"","text","score"
"326","jesus the full horror of corona i hitting home match of the day place by mrs brown boy ffaaedeefbfthe nightmare begin",0.125
"327","notf impresedf janf but at least ive got perfect re lipstickfedefbf soyourearocketscientist laugh out loud thatdontimpressmemuch shaniatwain corona virus coronamemesea",0.125
"328","corona ohh not applicable not applicable what a song ffd lyric i so so ecaffa covidindia covidebc coronaoutbreak coronavirusindia coronavirusreachesdelhi corona coronauk coronapocalypse coronaviruspakistan",0.351
"329","bird of wisdom ites corona time maintain space ffa ccskcbcdar istanbul turkey image ca baba tamim koronaturkiye covid",0.117
"330","to all my friend follow and game people around the world ffcd stay save dont get stress or panicked live the life like u did before and make the b out of it ffaffd love u all edaefbf corona coronavirus staysave enjoylife love strongertogether gamingcommunity",0.746
"331","i real fear for cnuts like gianni if this season i null void theyell need to shut the kingston erskine bridge coronaicecreamparty fdedaefbf",0.746
"332","flower magic edaefbf flower flower photography patna bihar corona india photograph tweet politicstoday photooftheday photosofmylife flowerstagram flowerpower flowersofinstagram flowerslovers floweroftheday",0.746
"333","welcome to limpopo a province of a mix culture where on corona i deliver oneca",0.2
"334","and you was a part of that thank aminefbeaefbfeaefbf i hope you are ok an your family too cause corona",0.45
"335","stay safe take precaution corona covid covid covcbd safetyfirst besafe prevention preventionisbetterthancure uaeffaffaa staysafe thcorpmm dubai uae dubaiffaffaa dubaiedaefbf",0.746
"336","still smile through it all yeall my son jordanelliswhite out here putt me in photo shoot edit and all laugh out loud fabfbedefbf let do it blancoboys fatherhood floral rva corona richmond virginia",0.125
"337","learn about the corona viruseacefbf what i the virus ffaa and how to protect yourself from it",0.389
"338","love in the time of corona edaefbfab",0.746
"339","dear corona you must leave now please fa because we love cricket so much plz go away ffebefbf covid coronavirusupdate psl psl coronavirusoutbreak coronaviruspakistan kkvsiu",-0.522
"340","good new edaf animal animal animallovers animallover dogsoftwitter dogsoftwiter dog dogsontwitter dog corona coronavirusindia coronavirusupdate coronavirus doglovers doglover dogtwitter dogsarefamily",0.746
"341","also in fashion help italy ffaedaefbf help the doctor ffaedeaefbf stopcoronavirus corona viva italia ffaeffbffaeffbffaeffbffaeffbffaeffb",0.746
"342","can we please ask to keep the follow in mind for the next few week this i not a joke be smart and form the informed stay safe stay inside edaefbf our belgian norwegian staff member are in lockdown our chief editor i in quarantaine this i bloody serious corona",0.746
"343","i request the black server at crack barrel host was hot fabfbedefbfa corona",0.125
"344","a teach make preparation for hi school week in the netherlands the school are still open next week ffaaedeefbf you mean something like this rutte covid coronavirusnetherlands corona coronaviruspandemic coronavirusnl coronavirusupdates investeerinonderwijs",0.125
"345","one big bunch of buffoon ffaaedeefbf i should be say this but my tongue itch to saykoi to de isko corona",0.125
"346","europe i so call hygiene then why who publish epicenter of corona i eafeaeabeabea proud to be an indian faefbedaefbfa",0.746
"347","ffbffbffbffbare you now travel in sri lankaffbffbffbffb ffaaffabffaare you feel your infect with covid ffa do you know where you can test fbedefbfedefbfgo to one of the place near to you fshare with you friend and familyf covid corona coronavirus srilanka safaritolanka travelsrilanka",0.125
"348","midmarch and ites snow hard stock market i getting chard covid i putt everyone on guardmadness fafbedefbf marchmadness covid blackswan life starbucks",0.125
"349","if your hospital fa i still do ecbusiness a usualed eeaefbf conscientious object to provide nonurgentnonessential treatment no more elect surgeriesprocedures fuse to put patient staff at risk covid flattenthecurve coronavid",0.147
"350","oh well im that casesee you all in day fabfbcedefbfbacarp fish coronavirus covid isolate bankside",0.125
"351","pray for better day f covid lord please heal the world eb ctto aesthelyrics coronapocalypse coronavirusupdates coronaoutbreak covid covidebc healtheworld",-0.522
"352","stay safe stay strong and take care of each other eda coronavirus covid",0.746
"353","check out the statewise helpline numb efbf for covid the ffe numb for uttar pradesh covidindia covidebc",0
"354","ffd largs medical group to start phone consultation a covid case soar eaaefbf",-0.066
"355","back in london ready to face the change world ffaaf skitrip ffaa hols home covid fafedefbfafedefbfab londonlife heathrow airport",0.125
"356","check out the statewise helpline numb efbf for covid the ffe numb for w bengal i covidindia covidebc",0
"357","do take care everyone list to edaefbf socialdistancing covid",0.746
"358","there i always hope look at sky keep calm and stay healthy lucky elephant in the sky are at least a good sign fcfedaefbf covid stayathome stayfuckingpositive estonia",0.746
"359","real heroes fb ecafb covid",0.429
"360","i hope so but im concern about if can use the covid a an excuse to cancel the election im do my search now to find out if it would be legal to cancel a national election during a national emergencyffaeccefbf",0.463
"361","eacefbf eefbf this weekend we stay in we stay safe covid christinep positiveengeryplus powerofpositivity lifeisbetterwhenyourelaughing mythoughtsexactly randomthoughtsexactlyea",0.467
"362","it my birthday and it also the start of ncr community quarantine day ffaffb march a birthday with a history ffe stay safe everyone we can do this we can get this through our god i bigger ffedaefbf mmlockdown covidph covid covidebc covid",0.746
"363","this i the main reason why covid spread rapid ffaeaaefbf",-0.066
"364","i do not feel sorry for anyone not taking this serious or trump voter whatever happen happen fbedefbfabfbedefbfacedaefbf covidebc covid",0.746
"365","ffeb music can lift spirit ffeb italian neighbor sing their heart out to boost morale and reduce lockdown blue this act of lift each otheres spirit during a heal crisis i strike beauty and hope absolute beautiful love it eaefbf covid",0.657
"366","a very interesting thread shedding some light upon the uk government approach covid eacefbf",0.389
"367","if youre do something posit for the community during covid like feed kid or help the homeless and need a flyer graphic design or anything let me know eaefbf no charge of course",0.657
"368","wash your hand for second use soap and water ea when you get to workstudy or arrive home ea aft you blow your nose cough or sneeze ea before you eat or handle food eeaefbf",0.147
"369","taking care of busy baby every day ebaefbf coronapocalypse covid pediatric nurselife",0.657
"370","ffbff and ye weell make it out ale bc he ha the data i trust this man with my life ffaffeca covid emergencyubi",0.351
"371","stop covid stayhome ffbeaefbf syria ffbffbe",0.657
"372","we wonet be have an ios in real life this month due to ongoing concerns about covid stay safe and check in next month edaefbf",0.746
"373","i just receive a scary message of the numb of infect people in portugal above and they just announce around ffa please stay at homefstay safe flatten the curve vaccine are come stay safeeaefbf fiquem excuse me casa por amor de deus covid",0.657
"374","this tweet goes out to my fellow mental heal warrior whose depression anxiety ocd etc have been exacerbate by coronavirus we will get through this physical mental and emotional hang in there and please reach out if youere feel overwhelm edaefbf",0.746
"375","no more nxttakeover dublin ffaaedeefbf was real look forward to winning the nxtukchampionship in hi homeland and watch the irish fan go complete mental thank coronavirus facf",0.125
"376","youere quarantine for months you get to stock up on one duct from each category below you own nothing else what do you get food ffd drink ffab entertain ffba miscellaneous e coronavirus coronapocalypse covid",0.068
"377","america deal with coronavirus no one i come in or go out the uk deal with coronavirus sing happy birthday and wash your hand x ecfb",0.463
"378","the anime waifu ink bam shift ffcffbc crustysubi ecefbf",0.463
"379","iem go to miss yeall edaefbf spring coronavirus nograduation",0.746
"380","eat more fib so your poop come out firm youll need less toilet paper ffabedeefbf coronavirus covid",0.125
"381","all weekend this coronavirus special i host will run on every state fm and am the show feature analysis from top excuse me tongue stick out erts on covid itself the emergency response to the outbreak and the financial impact of the pandemic podcast eacefbf",0.389
"382","nyc just port a death due to coronavirus covid due to negligence derelictionofduty can this result in murder or manslaughter charge against trump other in the trumpadministrationed coronavirususa coronaviruspandemic ffb",0.068
"383","the first case of the covid virus in china ha been trace back to nov near four week early than chinese heal authority have said accord to published chinese govern data port karen graham excuse me photo ca afp read more",0.117
"384","boss need someone to fill my spot so i sent smokey fabfbdedefbfthecoronavirus coronavirus coronaviruspandemic laugh out loud laugh my ass off funnymemes funny crazy crazypeople stupid workflow haha comedy humor virus animalfun",0.125
"385","one world more virus but covid w togetherwestand not just today but rather every day ecafeafaedeaefbfaedeaefbfb",0.429
"386","if you like korean tv show ffafedeefbfkingdom but didnt watch it yet i suggest you to watch it a soon a possible a it mention the zombie virus i a chinavirus ffa it may off the netflix screen soon due to political censorship you know ffbvirus cant be originate from china covidebc",0.125
"387","just got my liberalism find a cute shirt to help stop the prevention of the most deadly virus go around right now no ites not the coronavirusoutbreak or corvid ites the liberal pathogen know a tds trump derangement syndrome fedefbfbafb together we can help",0.125
"388","ec find php and wordpress backdoors use antivirus and indicator of compromise ioc",0.407
"389","fafafafbtrumpfb i a clearandpresentdanger ffaaffaaffaa and pathologicalliarffaacquarantineandremovetrumpebcefbf ffaaffaa coronaviruspandemicfafbtrumpwilkilusalfafa ffaaffaac trumpsliescostlives fbafbfafbedfadedfafbcfafafafafbeaefbfeabefbfa ffaa beware of thefbtrumpfa lunatick ffaa virus ffaa",-0.033
"390","acte paris when the ffaa in full pandemic continue go on street wout mask since there i none and that they r ebefbf that doe not prove that for the pp the form of govment r even more ffb than virus risk minim by gov which seem want spread the contagion ffa",0.485
"391","corona virus earths way of population control or it i survival of the fittest in play edfbd charlesdarwin genetic convid",0.309
"392","eaefbfdont paniceaefbfprepareedefbf ffbherbal antiviral natural remedy for emerge resistant viral infection amazon b sell in herbal remedy coronavirus pandemic epidemic virus survival covid coronavirusupdates audiobook affiliate link",0.1
"393","yeall and this tissue smhi prefer to be more sosa than tony fabfbdedefbf scarface tonymontana tissue cottonnelle champron straightup dope virus killjoy mindingyourbusiness legacylivin picoftheday excuse me tongue stick out loreea",0.125
"394","stay at home appeal by via instagram edaefbfdfc stayathome coronacrisis coronavirus pandemic flattenthecurve corona virus covid socialdistancing socialdistance austria artist staysafe worldwide",0.746
"395","ebcebc stay at home ebcebc repost instastory fdfeda from coronavirus crisis staysave socialdistancing corona virus covid pandemic socialdistance stayathome reduce social contactsea",0.746
"396","here are a few additional step you can be taking to prevent ill from the cdc the virus i thought to spread main from persontoperson so make sure you follow these eacefbf coronavirus",0.389
"397","fbdedefbftrue coronavirusupdates covid coronapocalypse",0.125
"398","quick mind that joinin i there if anyone need to chat my dms are also always open if anyone just need someone to talk to edaefbf covid coviduk",0.746
"399","so italians could be cower in fear over this socalled pandemic butnah fabfbedefbf theyere too busy live to die bellacaio coronavirus covidebc covid covid",0.125
"400","theyre our people anyone who i current suffer with covid get well soon ffaa and to anyone who i no longer with u re in peace ea such a sad time for the human race we must all pull together facfbfcdfabfb coronavirusuk covid coronavirus",0.657
"401","coronavirusupdates four key area to fight corona virus ea prepare and be ready ea detect protect and treat ea reduce transmission ea innovate and learn covid confirm coronavirus case outside chinaeacefbf",0.389
"402","coronavirussrilankaed ffb test posit ffb under observation ffb at quarantine cent ffb march declare holiday ffb all major event banned for week lka srilanka coronavirus coronaviruspandemic covid",0.1
"403","so far coronavirused ffbcovid spread ffbspread to country ffb deaths ffb infect ffb critical ffb cover ffbwho declare a pandemic ffbstay safef covid coronaviruspandemic covid lka",0.1
"404","i anyone else afraid to sneeze in public because you could be ostracize due to this damn corona ffbffbffbbeaefbf america coronavirusupdates covidebc covid italy saturdaythoughts coronaalert lockdown neverwornwhite coronapocalypse",-0.033
"405","game on ill change my file pic andor head with the most like ridiculous picture you can find of me everyday of this covid mess love and smile to you all edaefbf shadowhunters",0.746
"406","we will get through this fbef together and we will ffbeeabeefbf refusetolose to covid",-0.037
"407","not graduate due to covid social distance rise of confirm case in ph ebefbf",-0.522
"408","covid updateeca",0.351
"409","at costco do usual weeklygod help u if a true crisis ever hit ffaaedeefbf covidebc covid covidcanada",0.125
"410","spoke from the brain and heart eaefbf and should be in charge of all whpressconference from now on with covid",0.657
"411","absolve of guilt from buy tube of watercolor graphite color and charcoal pencil ecfefbf over the past year artsupplies covid diverse",0.342
"412","with globalwarming cause more extreme weather the ease of global travel lead to pandemic like covidebc even the possibility of another mega asteroid eefbf like the one which wipe out over of life on earth over million year ago could happen again",0
"413","pandemic fuelling stockpile liquor cabinetsf vankaproefbfcafcafca those long line people stock the liquor cabinet not the pantry",0.465
"414","when behavioralsciencefbfbmaries designingthinkingfabfb cope with socialdistancing covid risk fabfbedefbf how might we stay posit do it with all our people fbfbedefbf use a min exercise to answer the q fbfbedefbf then test iterate pandemic pandemicpositives",0.125
"415","coronavirus got you downffb no need to panicffb just take precautioneaaefbf music help tooffeb junkandjamlive comedy calm pandemic newyorkcity coronavirus staysafe instamood new york new york",-0.066
"416","eda so sorry christhese are try time little guy shouldnt have to graphic pandemic happy birthday",0.746
"417","between e of snow a pandemic quarantine my girl dog squad i have the snowy trail to ourselves out here in the gorge thank you portland for stay home fdedefbf trailhog snow pandemic whogivesafuckea",0.506
"418","like everyone else our gig got cancelled thank to ziggy zeitgeist bakane seck for popping in for a little jam watch this space for more music and posit vibe fbfbdedaefbfefae coronavirusblues pandemicea",0.746
"419","the pandemic i not the problem no live sport event on tv isffabedeefbf corona",0.125
"420","wonder how many of the top in ffacffa are now book ecefbf to the ffbaffb given they know ffb ffb will g healthcare that the even pre austerity ever could landmass isolate keep your ffopen people on their social media accountsffbaffbrulebritanniaffbaffb corona",0.415
"421","ffaa ino corona virus ffaa in this house on love edaefbf on love here with my love melenia trump coronavirusitalianews corona coronavircbcscbc success nevergiveup realpitbull wbcboxing",0.746
"422","pure stupidity in alberta alone people have die just from influenza this year and nobody panicked this i how many people have die from corona in all of canadaffaaedeefbf",0.125
"423","im cover in the blood of jesusedaefbf tayblit coronavirus lit funny dgaf like com god i",0.746
"424","i donet know about yeall but iem not go to nobodyes movie theater this weekend plus arenet we all suppose to be on a socialdistancing order iem not real worry about the coronavirus but iem also not a fool so i donet plan on bee reckless iem stay in ffbeefbf",0.244
"425","when iranffaeffb govern refusedf to test indian muslims strand in iran for coronavirus govt of india ffesent entire lab from indiaffaeffb along with indian doctor to test our peoplebefore bring them back donate lab to iranfcfbf yahi cheezein banati hai hume bhartiyeffaeffbeda",0.746
"426","my fam i pray for you and everyday mr regardless of this wuhan originate threat edaf president trump reveal he took coronavirus test",0.746
"427","eaaefbfvideo choc chine in hankou in the suburb of wuhan tense are crease between chinese citizen and govern employee responsible for fight ease ffea jenniferatntd coronavirusobreakbreak coronaviruspandemic coronaviruschina covid abbnews",0.177
"428","so much respect for those people heroes eda covidebc wuhan",0.746
"429","posit vibe thread to tract u from the stressful corona need ffaaffab please post funny wholesome or posit post and meme edaefbf coronapocalypse isolationessentials coronaoutbreak coronaviruspandemic",0.746
"430","people you know that toiletpaper doe not prevent coronaviruspandemic right dontbeadick leave some for everyone else fafbdedefbf",0.125
"431","bbcnewsnight catch up and follow our late coverage of the coronaviruspandemic on our youtube channel eeaefbf",0.147
"432","easianewshub cae coronavirusupdates break italy port new case of coronavirus and new deaths raise total to case and deaths coronaviruspandemic coronaalert",0.279
"433","no change the d airport i still an organized cluster and ha nothting to do with coronaviruspandemic unless passenger are at the a concourse everyone i trapped inside the airport fefbcfac ffbecefbf",0.415
"434","i think trump ha put together a credible team to address the current threat and that he will never get credit for any success we have with minimize covid impact sometime this happen in leadership hope you dont hate too much on our president ecc",0.463
"435","nobody absolute nobody coronavirus eacefbf coronavirus covidebc covid thegoodplace",0.389
"436","hmrc now have a helpline for any business concern about pay their tax due to coronavirus covid find out more eacefbf",0.389
"437","covid austria issue travel warn for switzerland eeaefbf",0.147
"438","ffac i deliver this ecefbf from emily a constituent in milwaukee wis to wi wipolitics covid ffd write your own",0.25
"439","ffac i deliver this ecefbf from linda a ffb verify voter in scottsdale ariz to and az azpol covid ffd write your own",0.25
"440","so you were an attend doctor and know with ffaf certainty it was the emphysema and are equal a certain the covid didnet start within a time frame that couldeve excelled h death ffd note i need your digit i want to re ffb efbf you up and retain you a my pcp",0
"441","ffeaca en tonight la ministra ha detallado las medidas que espacba coronavirus covid",0.117
"442","update process am cdt total case fatality cover change total case eac fatality cover statistic port stabilize runningthread coronavirus covid johnshopkins cdc who",0.286
"443","in collaborate with edaefbf we wish all to continue to stay safe and healthy",0.746
"444","my daughter i gutted that school are shutting down in manitoba shees start a eccorona virus journaled to document our familyes social distance effort she hope to keep up on h educate with this and off insight in the event of future pandemic so proud edaefbfcovid",0.746
"445","with washingtons recent covid outbreak well smoke solo this weekend well not quote weve got s sundaedriver along for the ride please stay safe healthy and reach out for those in need during these distance time ffdffbeca westernbud mtbakerwilderness",0.351
"446","new stride are bee made to address the covid outbreak a fund search team i work to develop a vaccine by target the spike protein of the virus read more on the e blog eeaefbf",0.147
"447","with all the breakingnews over the coronavirus pandemic it easy to get caught up in fearpractice heal precaution dream on edefbfe saturdaymotivation stopthespread covid saturdaythoughts coronaoutbreak saturdayvibes covidebc thinkbigsundaywithmarsha",0.309
"448","covid get your workplace ready fad fac ffb ffa ee info fbe",0.529
"449","both our game call off today due to covid due to the large crowd excuse me tongue stick out ected to gather for these huge game it understand coyh ffbeaab",0.235
"450","doesnt matte by love these guy nice company in the time of covid isolate i meh music i rad edaefbfc music do it yourself saturdayvibes indie",0.746
"451","you will never escape the damage coronavirus you have cause to the unite state of america and the decent people that make up this nationhistory will show u kill thousand by ignore multiple warn and defunding public heal agenciesyour done ec covid",0.407
"452","coronavirus in italien conferenza stampa ea pressconference italy italia schweiz oesterreich coviditaly covidebc sarscov covid ea pressrelease eacefbf",0.389
"453","bc of the covid my roomie and i are watch episode on episode with hourstohellandback and we love itedaefbf",0.746
"454","ffbecb stop and think ffa before visit anyone in any heal institute protect the vulnerable population covid everyone tribute to flattenthecurve",0.126
"455","some football survive today eabdefbfb excuse me in play on despite this week covid postponement all over the country nonleaguefootball footballphotography",0.616
"456","despite bee utter useless in the covid outbreak not able to protect their citizen the western regime still have enough time to circlejerk about their wet dream eacefbf they hope the coronavirus outbreak in china would bring down the cpc and dismantlebalkanize the country",0.389
"457","bitcoin market crash ha made many people to be afraid to vest in cryptocurrency why afraid when you can get daily and on weekend vest in moneloeacefbf",0.389
"458","i think mother nature i try to reinforce everyone to stay home ffcaedff covid springbreak",0.506
"459","someone sneeze before god bless youffc now god bless me and runfedefbf coronavirusupdates covid coronavirus kashmir covidph gaumutraparty",0.125
"460","your saturdaylimerick therees now a virus cause lot of fear and no paper to clean up your rear weell soon fill up the roll god always in control all this cause of bad mexican bee fabfbdedefbf lordchiefrocka coronavirusupdates coronavirus toiletpaper covidebc covid",0.125
"461","question aft day of selfisolating and we all come out of our home what happen then will we catch it or ha it gone ffabedeefbf coronavirus covid coronaoutbreak coronauk",0.125
"462","stay informedfbe stay safeec covid",0.407
"463","stay form and plan ahead for more information on impact program and facility in toronto during covid eeaefbf",0.147
"464","it saturday ffba come and enjoy your cafecito outdoor hand sanitize i free ffabc cafecitotime covcbd outdoorslife space coffeetogo coffeetimee ollae tongue stick out resscafe atripineverysip satx mexicoinsanantonio",0.244
"465","donnie i not happy about covid mess with hi chance of getting elect ebefbfcan you please do me a huge favor and consider buy me a cup of coffee if my tweet made you laugh you can do it hereff",0.209
"466","apology accidental link and tweet an account that pretend to be but clear isnet one by tony fauci niaid tweet delete fafbdedefbf covid",0.125
"467","i just went to watch f practice qualify and it cancelled because a member of mclaren test posit for covidebc covid and im shock but also hope everyone i well fadfafefe eda formulaone formula fcancelled",0.746
"468","if you are a delaware resident and have question about covid or source avail for you and your family i here to help call email or visit their website tail below eacefbf",0.389
"469","found out yesterday my toddle daycare will be close for the next three week fbfbcfdbfdbfdb who else i affect by closure and how are you planning to manage it edaefbf covid ontario toddlerlife momlife help sendbooze",0.746
"470","the point bee made obama swine flu die and small children die and young were hospitalize and no mass media ever compare to covid the total usa elder in washington st elder have sick heal edefbf this mass hysteria deepstate",0.1
"471","there are now case of covid excuse me also known a coronavirus excuse me in north carolina use the s new interact map to stay up to date on where the case are across the state eeaefbf",0.147
"472","how are you guy hold up with a lockdown social distance in place how are you feel about everything com below and we can all commiserate edaefbf check out my file for a post on how to talk to your kid about covid include boredom bustea",0.746
"473","the church i go to cancelled service tomorrow because of covid hallelujah thank god ecfb",0.463
"474","please use this link a the previous link i broken efa",0.111
"475","china probably deal with nd wave of covid eaaefbf coronavirus ainet over till ites over",-0.066
"476","hey fellow coloradans it beautiful outside drive in your car to the high country alone for a hike fresh air i better for your immune system than lay on the couch eat frozen pizza the tree rock view dont have covid and there are no people close to youeda",0.746
"477","all of this covid new i scary but romana read ecif god i for u who can be against use find peace in him during these time donet forget to be patient and kind to other jehovah shalomedaefbf",0.746
"478","service a normal tomorrow amfafebaefbf excuse me tongue stick out lains our preparation heal concerns",0.125
"479","qucadateencasa covid coronavirus fafa fa fbfbrepost with makerepost ebbebbebb believe timesarechanging fbfcfbfafbfafbfaefbfbedefbfedfb",0.309
"480","we are frequent update our website to include the late information and directive from in regard to covid you can learn more eacefbf",0.389
"481","service a normal tomorrow am am pmfafebaefbf excuse me tongue stick out lains our preparation heal concerns",0.125
"482","that heat should be an adequate step in eliminate covidand a cup of jb eefbf",0.244
"483","important covid update for rrcc studentsebcefbf eeaefbf while there will be no class during this timeframe administrator faculty and staff will spend that week excuse me tongue stick out loring alternate mode of livery and adjust campus learn space to ensure the safety of our community",0.147
"484","pray up for your broth and your family i just read an article from m i i think that port extubating and charge covid patient so there i hope keep the faith fbcedaefbf",0.746
"485","teach this link i in italian but it ha a great english pdf amongst many other language with a little workbook aim to ease anxiety kid may be feel surround covid great source to help our kiddo ffdeda",0.746
"486","thank you for the quest to suspend student assessment among covid fbcfbcfbc edaefbf all sc teach",0.746
"487","seem like china will be the new superpower now aft their corona virus stuntfafbedefbf covid covidebc",0.125
"488","national guard i bee sent to sou florida this week for mass test a ites been identify for community spread of covid i wonder why fbcfafafbedefbf",0.125
"489","this social distance the i gonna turn a pandemic to a echandemiced ecafbcfa socialdistancing pandemic covid",0.429
"490","homeoffice niet kunnen v niet willen big difference think on it fast care about your people edaefbf they make your busy especial if theyere healthy covid",0.746
"491","catch up and follow our late coverage of the coronaviruspandemic on our youtube channel eeaefbf",0.147
"492","many of u have been selfisolating since feb so let help out those new isolate folk ffb with stuff to do here i what im do this wkend purge my bookshelves of all my preretired work relate read sing my computer file folder ffabedeefbfeefbf whattodocovid covid",0.465
"493","please just change your holiday date eda savetourism covid",0.746
"494","because of recent cdc commendation regard covid our absurd salon schedule for march th ha been postpone stay tun for update on further cancellationsdecisions concerning covid for now all you darling and lovely stay safe and keep writ poem eca",0.351
"495","send a thank you to nurse doctor hospitalstaff during covid was complete awe by my medical teames calm grace during a noncovid issue this weekend their bravery i truly admire sure we can social isolate to keep hospital and neighbor safe edaefbf",0.746
"496","corona virus i maybe a wake up call for u to make tawbah and turn back to allch swt ffeda covid",0.746
"497","it was hard anyone in there theyeve move all condiment from the table place them with plastic utensilsffa ffdbno joke everythinges weird now the world ha become a ghost town ffbb appleffdebeescaeefbf ffb covid",0.279
"498","ha a solute for that just search for whatever your favorite type of workout i and for now my second time since covid i edaefbf and both great noequipment option",0.746
"499","ye sirheeding to the directive of heal guideline and putt them to use i key to get rid of covid properhandwashingebsafety",0.209
"500","just back from my local toilet paper pasta rice store eacefbf the bastard even gorge on the biodegrade bin bag f covid",0.389
"501","if you have no symptom and youere able to go to the shop please go to the shop and leave online order slot for the elder and vulnerable edaefbf covid",0.746
"502","socialdistancingnow socialdistance eeaefbf takeout and livery for restaurant coronavirus covid coronavirusupdates",0.147
"503","ffa communicate coronavirus advice to the public without excess science jargon ffaaffaffabedeefbf easily get lost in translate fusion ffabedeefbf ffaefbfsay what on the tin clarityffaefbf ffaabheinz bake beansffaab coronavirus nhs coronavirusuk pheuk nhscomms covid",0.125
"504","people of kosovo have shown their gratitude to heal personnel on the coronavirus frontline by applaud from their window edaefbf thank you fb covid",0.746
"505","very serious question what are yall do about haircut fedefbfa covid",0.125
"506","ok yeg the need your help more than ever bc of covid they have had to cancel the dinner group that come in to prepare the meal for the family consider donate support those little one their family eda",0.746
"507","late covid campus update include new tail on campus mail and s plan for temporary turn schedule this week eea",0.147
"508","ffcbe mind again these are simple step to protect yourself and other from covid coronavirus camaichardwho",0.117
"509","eaaefbf in response to covid all wellingtoncountylibrary branch and the wcma wellington county museum and archive will be close to the public march excuse me april tail",-0.066
"510","when your build i close for covid concerns so you cant access the podcast room to cord your audio package you make do with the next b the ffabedeefbf",0.125
"511","ffaacoronavirus update worldwide people are infect have die are in critical condition have cover from lightmild form of the covid in the usa are infect americans have die are in critical condition have recoveredeaaefbf",-0.066
"512","the brightside with covid i that we will all be passe our final with fly color eca",0.351
"513","iem an epidemiologist and ieve been wait for this moment fabfbedefbf in all serious though very interesting read covidebcuk",0.125
"514","ecamerican people are so immature theyere all out in public and not on lockdown like all these other civilize countriesed no we just donet care laugh my ass off me you and everybody else i gonna die one day and you canet stop it go live your life if covid get me then oh well fabfbcedefbf",0.125
"515","you are a guardian angel in scrub thank you so much for all you and your colleague in the covid war zone are do to save u we will never forget edaefbf",0.746
"516","east end of glasgow ha a few confirm case of covid in school donet send the kid to school sell isolate i need b it get to most and the vulnerable in your live fabfbedefbf",0.125
"517","ye camden love people join the covid mutual aid group already and every ward ha a whatsapp group now go brilliant work and pritam singh act of community love eefbf letsjoinin",0.465
"518","controversial opine alert ffaa brexit should be halt until the whole covid pandemic i over so the uk gov can fully focus on the uk getting out the other side in not too horrific a state fabfbedefbf covidebcuk brexit",0.125
"519","ffaaffaa hi all edaefbf we are keep a close eye on whates go on with covid a of now we will be open for class a schedule the hiit class for the week have been modify so that you will have your own homeea",0.746
"520","since friday i have receive email pertain to covid each one more escalate than the previous am i miss something anyway dont forget to wash your handswith soap and waterfor at least sec ecc",0.463
"521","iem a lyft drive and have been drive to support myself while i find a new dev role due to the virus pandemic i am on make hr i am in seattle and have test posit for covid any monetary support would be appreciate fbedaefbfb venmoe covidebc lyft",0.746
"522","there i no evidence current that dog have infect human with covid so good doggos around boston are help out any way they can edaefbf",0.746
"523","a the covid situate escalate we have taken the extra precautionary measure of definite close our official store and office a from monday th march all usual line of communicate will remain open ebefbf",0.209
"524","i hope no one i getting their covid new from complex fafbedefbf",0.125
"525","my kid out deliver meal made by friend to folk in foodbev industry out of work since coronavirus g zes to rescue fcfbedaefbfbafb",0.746
"526","lionshead i on fire ffaffcbffathe same way we can extinguish the flame speedily we can all combat this catastrophic world war pandemic together signalhill thankyou firefight thankyou coronafighters flattenthecurve coronavirus hope world peace southafrica ecefbfce",0.463
"527","ok iem go to put this one out there i man flu more or less severe than coronavirus ask for a friendfabfbcedefbf ffaadffb",0.125
"528","cut rate to zero and announce bn qe programme amid coronavirusafflicted market co eeaefbf",0.147
"529","i predict this with a post on linkedin yesterday but the potus was surprise when it happen today ffs fafbedefbf coronavirus prediction economiccrisis i genuine fuse to believe i knew it would happen before",0.125
"530","our elder cord an entire service with all the element of worship so our community group got together ate norwegian pancake ecafbc and other potluck goody and worship together eaea close all nycschools",0.429
"531","sou africafalse ec category are work covid",0.407
"532","new sou walesfalse should do this now b st patrickes day crease covid case all over indiana covid trumpdemic tzgemunited statesfalse coronavirus i seriousplease take percautionswash your handskeep skin to skin tact a minimal a possibilestay at home to protect yourself and also for people who are in risky place than youwe will overcome covid inshaalah eda",0.746
"533","need to excuse me tongue stick out lain to me how ffaffb ha a bfadfbedefbfand k case but ffbaffb with m fadfbedefbfhas m case",0.125
"534","the late ortholeakscae i out from abraham blacksmith",0.279
"535","homework this week ec include another lesson on importance of hand wash easterhomework homemade covid",0.407
"536","what we realise in time like this i how amaze family are meal prepped for hour call nerve a little more elevate than usual but my mum who ha h own heal issue to worry about take time for me letes not take each other for grant edaefbf mums covid ireland",0.746
"537","all my love plz stayathome protect urself not get the virus ites also the safety of your parent grandparent who r in a risky place than u i love u all iem sure that we will overcome covid look forward a better tomorrow stay safetake careu r so preciousedaefbf",0.746
"538","eeaefbf find confirm that covid i spread simply through breath even wout cough it seem likely that tact with contaminate surface i a primary mean of spread dont forget about hand wash but if you dont want to get infect you cant be in crowdsed",0.147
"539","eeaefbf breakdown of case about of those who tract covid on get mild ill get hospitalill critical ill the mortality rate seem to be between but that need to be adjust for age mortality i over and drop low for young cohort",0.147
"540","eeaefbf covid likely originate in bat those share rumor that covid came from chinese people eat them search now believe it went from bat to another animal specie before jump to human and that fecaloral transmission was the likely vector wash your hand",0.147
